10.0.0.42,+49555674250,GHI236CLE,ModelB,A0B1C2A6DBD9,SEPA0B1C2A6DBD9,255.255.0.0,20,10,10,switch1.example.com,GigabitEthernet1/0/2/89,10,10
192.168.10.53,+49555248993,GHI797QKN,ModelA,DDEEFF2C9B53,SEPDDEEFF2C9B53,255.255.255.0,40,1000,100,switch2.example.com,GigabitEthernet1/0/2/24,1000,100
10.0.1.240,+49555903821,HIJ655CBF,ModelA,FFAABBE29FEC,SEPFFAABBE29FEC,255.255.0.0,16,1000,1000,switch1.example.com,GigabitEthernet1/0/2/47,1000,1000
192.168.1.107,+49555269316,DEF409ZPR,ModelC,77889955D863,SEP77889955D863,255.255.255.192,21,100,100,switch3.example.com,GigabitEthernet1/0/2/49,100,100
172.16.100.65,+49555375212,JKL333VFF,ModelA,FFAABB913521,SEPFFAABB913521,255.255.255.128,27,100,10,switch1.example.com,GigabitEthernet1/0/2/18,100,10
192.168.10.110,+49555561773,DEF307ORT,ModelA,99AABB837708,SEP99AABB837708,255.255.255.240,14,1000,10,switch3.example.com,GigabitEthernet1/0/2/38,1000,10
10.0.1.19,+49555366997,NOP972RCI,ModelA,FFAABB14362C,SEPFFAABB14362C,255.255.255.128,25,100,100,switch2.example.com,GigabitEthernet1/0/2/35,100,100
172.17.0.75,+49555475278,BCD916DLW,ModelB,11223315BED9,SEP11223315BED9,255.255.255.128,18,100,10,switch2.example.com,GigabitEthernet1/0/2/48,100,10
192.168.20.138,+49555950709,PQR343RIZ,ModelC,99AABBB04340,SEP99AABBB04340,255.255.255.192,55,1000,100,switch2.example.com,GigabitEthernet1/0/2/43,1000,100
192.168.5.150,+49555606247,HIJ935GMH,ModelA,EEFF0071B89A,SEPEEFF0071B89A,255.255.0.0,37,10,100,switch3.example.com,GigabitEthernet1/0/2/25,10,100
192.168.1.87,+49555124272,VWX240NOW,ModelB,445566C575CC,SEP445566C575CC,255.255.255.0,66,1000,10,switch3.example.com,GigabitEthernet1/0/2/61,1000,10
